Barn [kW],Dishwasher [kW],Fridge [kW],Furnace 1 [kW],Furnace 2 [kW],Garage door [kW],Home office [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Living room [kW],Microwave [kW],Well [kW],Wine cellar [kW],dewPoint,gen [kW],humidity,precipIntensity,precipProbability,pressure,temperature,time,time_europe,use [kW],visibility,windBearing,windSpeed
0.0286,0.0,0.12866666699999998,0.020416667,0.188066667,0.012983333,0.0543,0.000616667,0.00033333300000000006,0.0,0.0016666670000000001,0.0032,0.001033333,0.00815,19.33,0.189616667,0.85,0.0201,0.0,1009.58,24.37,1451606400,2016-01-01 00:00:00,0.448033334,9.61,187.0,9.07
0.030816667000000002,1.67e-05,0.047716667000000004,0.063166667,0.064983333,0.012766666999999999,0.029333333,0.0007,1.67e-05,1.67e-05,0.001233333,0.00295,0.001,0.023966667,58.98,0.054283332999999996,0.69,0.0,0.0,1005.65,62.44,1451606460,2016-01-01 00:01:00,0.278683434,9.94,40.0,6.63
0.0287,0.0,0.1416,0.021,0.0625,0.013016666999999999,0.486183333,0.01195,0.001016667,1.67e-05,0.001,0.004083333,0.000983333,0.02955,50.63,0.003566667,0.48,0.0,0.0,1006.74,35.69,1451606520,2016-01-01 00:02:00,0.8016000329999999,9.07,202.0,9.6
0.172666667,1.67e-05,0.122,0.020466667,0.064966667,0.013000000000000001,0.040716667000000005,0.00075,1.67e-05,1.67e-05,0.001,0.00335,0.001016667,0.008133333000000001,29.7,0.034316667,0.75,0.0,0.0,1008.93,72.76,1451606580,2016-01-01 00:03:00,0.44811676800000005,10.0,358.0,2.75
0.03505,0.0,0.0051333329999999995,0.19918333300000002,0.10288333300000001,0.01285,0.1611,0.0007333330000000001,3.3299999999999996e-05,0.0,0.33745,0.00305,0.001,0.006883333,15.7,0.002983333,0.49,0.0017,0.0,1019.13,78.28,1451606640,2016-01-01 00:04:00,0.865349965,10.0,272.0,4.48
0.054066667,0.00041666699999999996,0.137583333,0.01055,0.06675,0.012533333,0.039416667,0.000583333,0.000666667,1.67e-05,0.00155,0.0041333329999999995,0.001016667,0.023716667,61.0,0.002983333,0.8,0.0,0.0,1014.65,55.56,1451606700,2016-01-01 00:05:00,0.353000034,8.99,183.0,4.73
0.033916667000000005,0.0,0.134266667,0.0182,0.063633333,0.01245,0.029066667,0.000483333,0.0,1.67e-05,0.0015,0.0043,0.00095,0.0072,53.09,0.0075333330000000006,0.53,0.0,0.0,1017.46,49.81,1451606760,2016-01-01 00:06:00,0.305983367,9.62,202.0,1.76
0.02785,1.67e-05,0.00515,0.019616667,0.06655,0.01295,0.38678333299999995,0.00065,0.0,0.0,0.001716667,0.004,0.000983333,0.008,36.34,0.143333333,0.94,0.0,0.0,1020.06,41.28,1451606820,2016-01-01 00:07:00,0.5342666999999999,9.13,295.0,2.81
0.033033333,0.0,0.0051333329999999995,0.021016667000000003,0.063416667,0.012266667,0.04015,0.000366667,0.0,0.0,0.0017666670000000002,0.004116667,0.001,0.151516667,19.88,0.0035833329999999997,0.73,0.0,0.5,1036.27,47.57,1451606880,2016-01-01 00:08:00,0.333783335,8.96,38.0,6.43
0.031583333,0.0,0.123766667,0.48563333299999994,0.65745,0.013016666999999999,0.16699999999999998,0.0004,0.000133333,1.67e-05,0.0016333329999999998,0.004216667,0.001,0.140683333,60.98,0.03695,0.88,0.0,0.0,1014.77,64.82,1451606940,2016-01-01 00:09:00,1.6265333659999994,10.0,202.0,13.28
